Date,UNH
10/16/2017 16:00:00,193.2
10/17/2017 16:00:00,203.89
10/18/2017 16:00:00,205.23
10/19/2017 16:00:00,203.25
10/20/2017 16:00:00,207.49
10/23/2017 16:00:00,207.01
10/24/2017 16:00:00,208.15
10/25/2017 16:00:00,207.56
10/26/2017 16:00:00,209.15
10/27/2017 16:00:00,212.6
10/30/2017 16:00:00,209.39
10/31/2017 16:00:00,210.22
11/01/2017 16:00,209.53
11/02/2017 16:00,211.1
11/03/2017 16:00,212.87
11/06/2017 16:00,212.12
11/07/2017 16:00,212.7
11/08/2017 16:00,210.77
11/09/2017 16:00,211.56
11/10/2017 16:00,211.07
11/13/2017 16:00:00,212.66
11/14/2017 16:00:00,211.71
11/15/2017 16:00:00,209.86
11/16/2017 16:00:00,211.13
11/17/2017 16:00:00,209.9
11/20/2017 16:00:00,210.25
11/21/2017 16:00:00,212.6
11/22/2017 16:00:00,211.22
11/24/2017 13:00:00,212.51
11/27/2017 16:00:00,212.4
11/28/2017 16:00:00,216.14
11/29/2017 16:00:00,222.88
11/30/2017 16:00:00,228.17
12/01/2017 16:00,226.78
12/04/2017 16:00,221.42
12/05/2017 16:00,220.09
12/06/2017 16:00,219.94
12/07/2017 16:00,220.15
12/08/2017 16:00,223.91
12/11/2017 16:00,222.77
12/12/2017 16:00,222.49
12/13/2017 16:00:00,224.35
12/14/2017 16:00:00,221.25
12/15/2017 16:00:00,221.82
12/18/2017 16:00:00,222.67
12/19/2017 16:00:00,222.04
12/20/2017 16:00:00,222.38
12/21/2017 16:00:00,221.69
12/22/2017 16:00:00,220
12/26/2017 16:00:00,219.6
12/27/2017 16:00:00,220.42
12/28/2017 16:00:00,222.77
12/29/2017 16:00:00,220.46
1/02/2018 16:00,221.16
1/03/2018 16:00,223.48
1/04/2018 16:00,224.45
1/05/2018 16:00,228.73
1/08/2018 16:00,224.76
1/09/2018 16:00,225.88
1/10/2018 16:00,224.2
1/11/2018 16:00,225.39
1/12/2018 16:00,228.64
1/16/2018 16:00:00,232.9
1/17/2018 16:00:00,238.43
1/18/2018 16:00:00,243.16
1/19/2018 16:00:00,243.35
1/22/2018 16:00:00,243.56
1/23/2018 16:00:00,245.21
1/24/2018 16:00:00,244.85
1/25/2018 16:00:00,245.18
1/26/2018 16:00:00,248.47
1/29/2018 16:00:00,247.41
1/30/2018 16:00:00,236.65
1/31/2018 16:00:00,236.78
2/01/2018 16:00,235.22
2/02/2018 16:00,231.88
2/05/2018 16:00,220.02
2/06/2018 16:00,225.18
2/07/2018 16:00,225.82
2/08/2018 16:00,216.46
2/09/2018 16:00,220.96
2/12/2018 16:00,225.69
2/13/2018 16:00:00,226.64
2/14/2018 16:00:00,228.78
2/15/2018 16:00:00,226.02
2/16/2018 16:00:00,229.37
2/20/2018 16:00:00,226.66
2/21/2018 16:00:00,225.13
2/22/2018 16:00:00,227.09
2/23/2018 16:00:00,230.16
2/26/2018 16:00:00,234.06
2/27/2018 16:00:00,232.52
2/28/2018 16:00:00,226.16
3/01/2018 16:00,224.45
3/02/2018 16:00,225.19
3/05/2018 16:00,228.38
3/06/2018 16:00,226.18
3/07/2018 16:00,227.27
3/08/2018 16:00,224.73
3/09/2018 16:00,225.43
3/12/2018 16:00,222.77
3/13/2018 16:00:00,226.94
3/14/2018 16:00:00,225.38
3/15/2018 16:00:00,229.48
3/16/2018 16:00:00,227.86
3/19/2018 16:00:00,225.05
3/20/2018 16:00:00,226.78
3/21/2018 16:00:00,222.82
3/22/2018 16:00:00,215.21
3/23/2018 16:00:00,212.55
3/26/2018 16:00:00,219.07
3/27/2018 16:00:00,217.96
3/28/2018 16:00:00,218.5
3/29/2018 16:00:00,214
4/02/2018 16:00,217.2
4/03/2018 16:00,224.58
4/04/2018 16:00,228.79
4/05/2018 16:00,229.07
4/06/2018 16:00,223.96
4/09/2018 16:00,222.73
4/10/2018 16:00,226.79
4/11/2018 16:00,221.9
4/12/2018 16:00,224.24
4/13/2018 16:00:00,224.28
4/16/2018 16:00:00,230.32
4/17/2018 16:00:00,238.55
4/18/2018 16:00:00,236.4
4/19/2018 16:00:00,235.76
4/20/2018 16:00:00,235.06
4/23/2018 16:00:00,234.34
4/24/2018 16:00:00,234.22
4/25/2018 16:00:00,234.9
4/26/2018 16:00:00,237.03
4/27/2018 16:00:00,240.18
4/30/2018 16:00:00,236.4
5/01/2018 16:00,236.85
5/02/2018 16:00,233.46
5/03/2018 16:00,234.15
5/04/2018 16:00,235.9
5/07/2018 16:00,233.78
5/08/2018 16:00,232.03
5/09/2018 16:00,229.21
5/10/2018 16:00,233.71
5/11/2018 16:00,238.28
5/14/2018 16:00:00,242.9
5/15/2018 16:00:00,239.5
5/16/2018 16:00:00,241.72
5/17/2018 16:00:00,242.96
5/18/2018 16:00:00,244.64
5/21/2018 16:00:00,247.9
5/22/2018 16:00:00,245.18
5/23/2018 16:00:00,244.26
5/24/2018 16:00:00,242.73
5/25/2018 16:00:00,244.95
5/29/2018 16:00:00,242.17
5/30/2018 16:00:00,244.94
5/31/2018 16:00:00,241.51
6/01/2018 16:00,243.35
6/04/2018 16:00,244.63
6/05/2018 16:00,244.43
6/06/2018 16:00,248.65
